-4.30978,0.96075,-0.492867,0.52762,15.0926,1.16196,14.5735,1.11557,1.14537,4.10547,4.38376,-0.545558,-38.2977,-2.34104
-4.13586,0.832223,-0.510011,0.522408,16.0182,0.935018,19.4544,1.11557,1.15945,4.10547,4.0581,-0.560576,18.5257,-3.07036
-3.98465,0.675263,-0.527092,0.516182,16.9666,0.776302,10.4062,1.11557,1.16849,3.48969,4.04533,-0.575808,-54.5347,-2.53626
-3.70615,0.592348,-0.542602,0.509218,17.7787,0.848098,17.4412,1.11557,1.16249,3.48969,3.57127,-0.587913,23.6042,-3.61208
-3.71496,0.439013,-0.557903,0.501397,18.5978,0.714399,17.6629,1.11557,1.16979,3.48969,3.55427,-0.603321,27.6921,-4.0755
-3.30942,0.41384,-0.571847,0.493003,19.2981,0.786474,15.6259,1.11557,1.16362,2.93832,3.12921,-0.612308,28.0105,-4.02713
-3.30759,0.282902,-0.585391,0.483924,19.9842,0.677573,15.8575,1.11557,1.16927,2.93832,3.10824,-0.625829,32.0999,-4.44315
-2.95776,0.283183,-0.597853,0.474385,20.5783,0.749485,14.0333,1.11557,1.16304,2.45874,2.73889,-0.634014,31.6969,-4.33397
-2.94797,0.171879,-0.609757,0.464332,21.1396,0.663986,14.2829,1.11557,1.16716,2.45874,2.71401,-0.645799,35.8734,-4.71427
-2.65604,0.187205,-0.620816,0.453896,21.6339,0.735671,12.6659,1.11557,1.16095,2.05185,2.40219,-0.653288,34.6571,-4.55095
-2.64017,0.0928309,-0.631228,0.443101,22.0832,0.671625,12.9442,1.11557,1.16373,2.05185,2.3733,-0.663507,39.042,-4.91056
-2.40386,0.114305,-0.640984,0.431975,22.4873,0.742872,11.5116,1.11557,1.15761,1.71408,2.11739,-0.670373,36.914,-4.69467
-2.38313,0.0344784,-0.65006,0.420619,22.8404,0.698247,11.831,1.11557,1.15922,1.71408,2.08421,-0.679196,41.6554,-5.05131
-2.19741,0.0550049,-0.658621,0.408967,23.1657,0.768434,10.5495,1.11557,1.15328,1.43921,1.88058,-0.685486,38.5106,-4.77922
-2.17256,-0.0122121,-0.666512,0.397184,23.4388,0.741453,10.924,1.11557,1.15387,1.43921,1.84267,-0.693073,43.7738,-5.15273
-2.03096,0.00206326,-0.673988,0.385134,23.6973,0.809463,9.75507,1.11557,1.14822,1.21972,1.68668,-0.698818,39.5047,-4.81606
-2.00241,-0.0540201,-0.680831,0.373021,23.9064,0.798814,10.1991,1.11557,1.1479,1.21972,1.64347,-0.705312,45.4604,-5.2278
-1.89796,-0.0496964,-0.687324,0.360666,24.11,0.863053,9.10388,1.11557,1.14267,1.04779,1.53014,-0.710527,39.9688,-4.81467
-1.86596,-0.0957067,-0.693239,0.348292,24.2698,0.868001,9.63118,1.11557,1.14151,1.04779,1.48105,-0.716051,46.7774,-5.28648
-1.79182,-0.103667,-0.69884,0.335699,24.4297,0.926484,8.5745,1.11557,1.13686,0.915932,1.40544,-0.720746,39.9961,-4.78378
-1.75659,-0.140362,-0.703927,0.323106,24.5533,0.946885,9.19623,1.11557,1.13486,0.915932,1.35001,-0.725401,47.7827,-5.33607
-1.70629,-0.161752,-0.708717,0.310322,24.6796,0.99742,8.15134,1.11557,1.13094,0.817355,1.30726,-0.729577,39.7163,-4.73358
-1.66817,-0.189776,-0.713055,0.297537,24.7783,1.0336,8.87246,1.11557,1.12811,0.817355,1.24537,-0.733449,48.5286,-5.38171
-1.63569,-0.224592,-0.717102,0.284591,24.8802,1.07418,7.82798,1.11557,1.12506,0.746136,1.23044,-0.737099,39.3246,-4.67919
-1.59534,-0.244786,-0.720754,0.271629,24.9634,1.12656,8.64099,1.11557,1.12135,0.746136,1.16275,-0.740256,49.0613,-5.42686
-1.57493,-0.291646,-0.724111,0.258537,25.049,1.17124,8.6647,1.11557,1.11824,0.746136,1.1484,-0.743365,49.4039,-5.49263
-1.53349,-0.30556,-0.727121,0.245405,25.1244,1.22446,8.48599,1.11557,1.11468,0.697255,1.09842,-0.745868,49.422,-5.47378
-1.51213,-0.349448,-0.729834,0.232173,25.2012,1.27236,8.50734,1.11557,1.11157,0.697255,1.0847,-0.748319,49.6853,-5.53021
-1.47881,-0.371828,-0.732231,0.218878,25.2745,1.32624,8.39465,1.11557,1.10816,0.666558,1.04922,-0.750309,49.648,-5.52399
-1.45635,-0.413246,-0.734331,0.205501,25.3491,1.37672,8.41398,1.11557,1.10508,0.666558,1.03621,-0.752134,49.8388,-5.57221
-1.42817,-0.443036,-0.736134,0.192048,25.4247,1.43104,8.35701,1.11557,1.10185,0.650671,1.01258,-0.753592,49.775,-5.57871
-1.40445,-0.482386,-0.737641,0.178522,25.5024,1.48367,8.37364,1.11557,1.09882,0.650671,1.00037,-0.75481,49.8866,-5.61843
-1.37904,-0.518461,-0.738859,0.164914,25.5839,1.53819,8.36587,1.11557,1.09576,0.64689,0.986336,-0.755716,49.8413,-5.63931
-1.35393,-0.556091,-0.739784,0.151234,25.6689,1.59272,8.37754,1.11557,1.0928,0.64689,0.975146,-0.756334,49.8468,-5.66827
